FECHA_DOC,CVE_ART
2022-01-05,TUE00244
2022-01-05,TUA00028
2022-01-05,TP0007
2022-01-05,TP0001
2022-01-05,BP00242
2022-01-05,BP00243
2022-01-05,RP00165
2022-01-05,TP0001
2022-01-05,TUE00207
2022-01-05,TUE00207
2022-01-05,TUE00207
2022-01-05,TUE00207
2022-01-05,TUE00207
2022-01-05,BO00051
2022-01-05,BC00023
2022-01-05,PT00070
2022-01-05,TP0011
2022-01-05,PJ31C1F1AA00
2022-01-05,WRE-2133
2022-01-05,WRE-2774
2022-01-05,WRE-4885
2022-12-23,TUA00325
2022-12-23,RB00007
2022-12-23,TP00018
2022-12-23,BP00006
2022-12-23,PJ31Q1G1A400
2022-12-23,BL00002
2022-12-23,BN00145
2022-12-23,BN00146
2022-12-23,PT00079
2022-12-23,CS12F1040A00
2022-12-23,CS12H1050A00
2022-12-23,TUE00394
2022-12-23,TUA00470
2022-12-23,RB00007
