,FECHA_DOC,COSTO_UNITARIO_CALCULADO,SUBTOTAL_PARTIDA
0,2022-01-05,52.8,434.48
1,2022-01-05,327.18,1264.05
2,2022-01-05,177.68,3861.29
3,2022-01-05,38.96,140.0
4,2022-01-05,101.71,344.83
5,2022-01-05,49.41,474.14
6,2022-01-05,5323.76,14000.0
7,2022-01-05,38.96,283.5
8,2022-01-05,517.89,1615.0
9,2022-01-05,517.89,1615.0
10,2022-01-05,517.89,1615.0
11,2022-01-05,586.32,1615.0
12,2022-01-05,586.32,1615.0
13,2022-01-05,86.22,1485.25
14,2022-01-05,742.05,2095.25
15,2022-01-05,149.6,481.25
16,2022-01-05,124.0,1542.56
17,2022-01-05,141.9,375.0
18,2022-01-05,78.7,4106.5
19,2022-01-05,75.77,5749.1
20,2022-01-05,27.43,1489.05
21,2022-01-07,147.76,2815.59
22,2022-01-07,259.35,718.52
23,2022-01-07,332.65,898.25
24,2022-01-07,0.36,3000.0
25,2022-01-07,1081.89,5544.0
26,2022-01-07,124.0,2425.0
27,2022-01-07,44.14,2250.0
28,2022-01-07,489.39,4010.92
29,2022-01-07,305.44,38979.6
30,2022-01-10,295.24,5136.22
31,2022-01-10,305.44,38979.6
32,2022-01-10,178.6,601.23
33,2022-01-11,68.95,1505.0
34,2022-01-11,78.32,2159.6
35,2022-01-11,5.76,382.1
36,2022-01-11,45.01,485.23
37,2022-01-11,289.05,945.0
38,2022-01-12,64.85,10384.0
39,2022-01-12,161.73,938.53
40,2022-01-12,1509.14,38160.0
41,2022-01-12,101.71,5572.89
42,2022-01-12,81.91,5050.8
43,2022-01-12,497.54,10624.0
44,2022-01-13,98.76,1198.1
45,2022-01-14,140.29,803.0
46,2022-01-14,181.88,1570.5
47,2022-01-14,249.89,1231.7
48,2022-01-14,48.56,1540.8
49,2022-01-14,195.26,2150.0
50,2022-01-17,85.29,2655.0
51,2022-01-17,220.0,385.0
52,2022-01-17,211.36,500.0
53,2022-01-17,242.48,1671.0
54,2022-01-17,235.56,1791.0
55,2022-01-17,319.8,1264.25
56,2022-01-17,313.8,1264.25
57,2022-01-17,44.7,2420.0
58,2022-01-18,4.02,337.7
59,2022-01-19,69.23,1116.28
60,2022-01-19,69.23,1116.28
61,2022-01-19,556.14,4236.0
62,2022-01-19,447.68,3564.0
63,2022-01-19,95.82,3978.0
64,2022-01-19,158.4,991.6
65,2022-01-19,272.65,17420.0
66,2022-01-19,161.63,1010.46
67,2022-01-19,105.68,3940.4
68,2022-01-20,795.74,10577.12
69,2022-01-20,51.38,1044.0
70,2022-01-20,291.72,255.01
71,2022-01-21,240.87,5512.5
72,2022-01-21,52.48,364.55
73,2022-01-21,139.82,662.0
74,2022-01-21,275.5,44259.0
75,2022-01-21,200.3,2999.72
76,2022-01-24,372.67,14500.0
77,2022-01-24,360.5,8700.0
78,2022-01-24,337.97,8700.0
79,2022-01-24,113.47,3320.0
80,2022-01-24,77.13,2720.0
81,2022-01-24,115.58,2051.74
82,2022-01-24,165.19,3174.5
83,2022-01-24,385.71,5970.72
84,2022-01-25,85.89,566.64
85,2022-01-25,95.96,5178.0
86,2022-01-25,131.65,6339.6
87,2022-01-25,292.75,1880.28
88,2022-01-25,71.25,3000.0
89,2022-01-26,38.96,98.0
90,2022-01-26,363.33,2490.75
91,2022-01-26,27.08,473.28
92,2022-01-27,436.54,1659.6
93,2022-01-27,38.96,107.76
94,2022-01-28,113.22,499.0
95,2022-01-28,247.52,2700.0
96,2022-01-28,160.03,3567.0
97,2022-01-28,369.59,4305.0
98,2022-01-28,67.42,990.0
99,2022-01-28,71.25,125.0
100,2022-01-28,75.89,175.0
101,2022-01-31,1214.3,5251.0
102,2022-01-31,1041.08,4928.4
103,2022-01-31,1298.68,4137.0
104,2022-01-31,387.87,925.6
105,2022-01-31,435.3,1517.63
106,2022-01-31,24.38,1995.4
107,2022-01-31,167.3,2629.5
108,2022-01-31,104.4,535.09
109,2022-01-31,336.57,2391.69
110,2022-01-31,647.84,1572.45
111,2022-01-31,436.05,9502.0
112,2022-01-31,449.35,4161.7
113,2022-01-31,406.61,2118.0
114,2022-01-31,281.94,1250.0
115,2022-01-31,67.22,2468.0
116,2022-01-31,37.76,1020.0
117,2022-01-31,13.38,197.5
118,2022-02-01,226.23,1000.0
119,2022-02-01,130.2,1700.8
120,2022-02-01,137.08,971.0
121,2022-02-02,220.0,385.0
122,2022-02-02,492.92,3892.24
123,2022-02-02,13.38,197.5
124,2022-02-02,174.76,871.5
125,2022-02-02,106.0,1125.87
126,2022-02-02,246.94,2200.0
127,2022-02-03,90.18,565.4
128,2022-02-03,156.83,1406.56
129,2022-02-03,146.88,3953.0
130,2022-02-03,186.95,3314.76
131,2022-02-03,99.32,2630.32
132,2022-02-03,130.78,1125.0
133,2022-02-03,134.36,1125.0
134,2022-02-04,189.47,13701.02
135,2022-02-04,220.0,462.0
136,2022-02-04,395.14,2665.3
137,2022-02-04,141.65,1579.6
138,2022-02-08,526.27,21602.16
139,2022-02-08,150.79,2134.4
140,2022-02-08,96.78,7200.0
141,2022-02-08,533.27,5632.95
142,2022-02-08,319.99,6804.0
143,2022-02-08,164.55,3798.36
144,2022-02-09,168.4,2045.0
145,2022-02-09,418.59,11579.97
146,2022-02-09,665.36,1054.0
147,2022-02-09,569.1,9596.04
148,2022-02-09,78.83,3429.75
149,2022-02-10,83.5,1705.95
150,2022-02-10,791.1,9159.75
151,2022-02-10,143.89,2116.5
152,2022-02-10,222.0,1626.21
153,2022-02-10,113.59,715.7
154,2022-02-11,153.97,8667.0
155,2022-02-11,112.64,3085.5
156,2022-02-11,87.1,307.5
157,2022-02-11,297.59,2092.22
158,2022-02-11,111.63,900.0
159,2022-02-14,182.75,5973.0
160,2022-02-14,106.18,3036.68
161,2022-02-14,150.48,3152.2
162,2022-02-14,36.92,840.0
163,2022-02-14,299.62,945.0
164,2022-02-14,31.72,1035.0
165,2022-02-14,155.39,1989.28
166,2022-02-14,145.21,1476.8
167,2022-02-14,150.74,1452.18
168,2022-02-14,17.39,1185.0
169,2022-02-14,106.55,336.93
170,2022-02-14,89.85,3409.56
171,2022-02-14,143.11,2259.43
172,2022-02-15,42.86,894.84
173,2022-02-15,337.19,2174.6
174,2022-02-15,226.23,919.0
175,2022-02-16,51.36,290.0
176,2022-02-16,98.64,3000.0
177,2022-02-16,1214.3,5251.0
178,2022-02-16,325.78,4758.64
179,2022-02-17,431.83,4556.9
180,2022-02-17,124.0,408.87
181,2022-02-17,175.18,1136.53
182,2022-02-17,12.4,862.07
183,2022-02-17,1782.0,7575.0
184,2022-02-17,36.53,675.4
185,2022-02-18,672.74,16492.26
186,2022-02-18,1190.42,14096.87
187,2022-02-18,70.04,2040.0
188,2022-02-18,189.75,1626.1
189,2022-02-18,346.74,2096.0
190,2022-02-18,112.61,1050.0
191,2022-02-18,3061.83,12750.0
192,2022-02-18,38.96,239.66
193,2022-02-21,227.18,813.0
194,2022-02-21,773.91,2068.5
195,2022-02-21,304.25,9108.0
196,2022-02-22,173.0,2985.3
197,2022-02-22,29.9,683.25
198,2022-02-22,222.0,813.1
199,2022-02-22,52.74,12434.58
200,2022-02-22,378.69,3040.0
201,2022-02-22,220.0,385.0
202,2022-02-22,253.0,435.0
203,2022-02-22,98.63,206.9
204,2022-02-23,254.34,52200.0
205,2022-02-23,37.66,1560.5
206,2022-02-23,44.54,1598.24
207,2022-02-23,48.09,1643.78
208,2022-02-23,51.09,1678.86
209,2022-02-23,141.49,1802.24
210,2022-02-23,201.21,1984.0
211,2022-02-23,188.85,2218.44
212,2022-02-23,297.2,2224.0
213,2022-02-23,30.17,5075.7
214,2022-02-23,54.82,774.9
215,2022-02-23,187.31,3348.0
216,2022-02-23,366.42,1920.0
217,2022-02-23,112.8,1379.84
218,2022-02-23,112.8,1379.84
219,2022-02-23,227.18,813.0
220,2022-02-24,427.12,9600.0
221,2022-02-24,369.07,18630.0
222,2022-02-24,101.99,3550.0
223,2022-02-24,1204.71,4436.54
224,2022-02-24,74.08,650.32
225,2022-02-25,1179.22,1615.0
226,2022-02-25,1179.22,1615.0
227,2022-02-25,1179.22,1615.0
228,2022-02-25,1179.22,1615.0
229,2022-02-25,1179.22,1615.0
230,2022-02-25,338.28,1196.0
231,2022-02-25,160.14,890.0
232,2022-02-25,106.55,606.9
233,2022-02-25,137.48,738.5
234,2022-02-25,119.05,1775.0
235,2022-02-25,125.12,2727.0
236,2022-02-25,127.62,4070.0
237,2022-02-25,120.29,3904.0
238,2022-02-25,113.69,3801.0
239,2022-02-25,161.1,4072.0
240,2022-02-25,131.71,4095.0
241,2022-02-25,459.8,4060.0
242,2022-02-28,88.95,2249.28
243,2022-02-28,7342.41,1125.0
244,2022-02-28,440.7,2970.0
245,2022-02-28,339.43,44259.0
246,2022-02-28,29.29,2500.8
247,2022-02-28,90.42,1130.8
248,2022-02-28,69.55,997.54
249,2022-02-28,470.09,2508.7
250,2022-02-28,373.69,2056.7
251,2022-02-28,559.98,1265.2
252,2022-02-28,178.49,2397.3
253,2022-02-28,139.69,1156.5
254,2022-02-28,173.44,2976.75
255,2022-02-28,48.23,1076.1
256,2022-02-28,208.27,1498.16
257,2022-02-28,688.35,1599.5
258,2022-02-28,375.4,1455.25
259,2022-02-28,415.77,1398.79
260,2022-02-28,601.65,2944.0
261,2022-02-28,236.98,1196.55
262,2022-02-28,449.84,3689.64
263,2022-02-28,87.59,2040.0
264,2022-02-28,43.81,2500.8
265,2022-02-28,33.9,1875.86
266,2022-03-01,688.31,2524.5
267,2022-03-02,236.68,4120.0
268,2022-03-02,210.46,4378.4
269,2022-03-02,1214.3,5251.0
270,2022-03-03,918.12,23340.0
271,2022-03-03,1133.81,23340.0
272,2022-03-03,220.0,462.0
273,2022-03-03,41.26,4315.0
274,2022-03-03,173.44,2976.75
275,2022-03-03,78.24,1038.0
276,2022-03-03,211.36,512.36
277,2022-03-03,137.48,382.76
278,2022-03-04,134.94,560.04
279,2022-03-04,235.81,13701.02
280,2022-03-04,370.94,1255.2
281,2022-03-04,36.53,675.4
282,2022-03-04,269.59,1931.0
283,2022-03-07,87.1,1060.0
284,2022-03-07,435.26,2265.0
285,2022-03-07,67.47,2296.0
