,0,Referencia,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
0,1,1,01/01/2004 00:00,Parking,Alquiler,Lleida,291.0,2133903.0,19/06/2004 00:00,Carmen
1,2,2,01/01/2004 00:00,Local,Venta,Girona,185.0,1945424.0,19/04/2004 00:00,Pedro
2,3,3,01/01/2004 00:00,Oficina,Alquiler,Girona,82.0,1121906.0,08/11/2004 00:00,Joaquín
3,4,4,02/01/2004 00:00,Parking,Alquiler,Girona,285.0,1121906.0,27/04/2004 00:00,Jesús
4,5,5,02/01/2004 00:00,Suelo,Venta,Tarragona,152.0,185000.0,10/07/2004 00:00,María
5,6,6,03/01/2004 00:00,Industrial,Alquiler,Girona,131.0,953156.0,05/09/2004 00:00,Pedro
6,7,7,03/01/2004 00:00,,Alquiler,Tarragona,,406686.0,07/06/2004 00:00,Pedro
7,8,8,03/01/2004 00:00,Oficina,Venta,Girona,235.0,2158475.0,31/10/2004 00:00,Jesús
8,9,9,04/01/2004 00:00,Piso,Alquiler,Lleida,108.0,1024380.0,28/12/2004 00:00,Jesús
9,10,10,04/01/2004 00:00,Parking,Venta,Lleida,299.0,2042768.0,06/10/2004 00:00,Joaquín
10,11,11,04/01/2004 00:00,Oficina,Alquiler,Girona,124.0,627068.0,28/10/2004 00:00,Pedro
11,12,12,04/01/2004 00:00,Industrial,Venta,Girona,187.0,999328.0,05/04/2004 00:00,Carmen
12,13,13,04/01/2004 00:00,Parking,Venta,Barcelona,,2937300.0,04/11/2004 00:00,Jesús
13,14,14,04/01/2004 00:00,Local,Venta,Tarragona,68.0,664700.0,01/10/2004 00:00,Carmen
14,15,15,04/01/2004 00:00,Industrial,Alquiler,Girona,176.0,820336.0,29/11/2004 00:00,Pedro
15,16,16,05/01/2004 00:00,Casa,Alquiler,Girona,179.0,937960.0,21/11/2004 00:00,Carmen
16,17,17,05/01/2004 00:00,Casa,Alquiler,Tarragona,58.0,358846.0,08/10/2004 00:00,Luisa
17,18,18,06/01/2004 00:00,Suelo,Venta,Barcelona,283.0,1679605.0,06/06/2004 00:00,Carmen
18,19,19,07/01/2004 00:00,Piso,Alquiler,Girona,55.0,472615.0,09/04/2004 00:00,Luisa
19,20,20,08/01/2004 00:00,Oficina,Alquiler,Barcelona,148.0,1169496.0,19/08/2004 00:00,María
20,21,21,09/01/2004 00:00,Industrial,Venta,Barcelona,228.0,2020992.0,12/06/2004 00:00,Carmen
21,22,22,09/01/2004 00:00,Oficina,Alquiler,Lleida,116.0,727552.0,14/04/2004 00:00,Pedro
22,23,23,10/01/2004 00:00,Casa,Alquiler,Girona,183.0,1438929.0,21/04/2004 00:00,Luisa
23,24,24,10/01/2004 00:00,Oficina,Alquiler,Tarragona,79.0,1121906.0,01/12/2004 00:00,Joaquín
24,25,25,10/01/2004 00:00,Oficina,Alquiler,Barcelona,124.0,1170684.0,23/05/2004 00:00,Jesús
25,26,26,10/01/2004 00:00,Local,Alquiler,Tarragona,70.0,549780.0,22/06/2004 00:00,Jesús
26,27,27,11/01/2004 00:00,Local,Alquiler,Tarragona,70.0,659330.0,23/12/2004 00:00,Pedro
27,28,28,12/01/2004 00:00,Casa,Alquiler,Barcelona,187.0,1660560.0,16/06/2004 00:00,Joaquín
28,29,29,12/01/2004 00:00,Casa,Alquiler,Tarragona,91.0,753571.0,07/07/2004 00:00,Luisa
29,30,30,12/01/2004 00:00,Local,Alquiler,Tarragona,201.0,939072.0,04/08/2004 00:00,Carmen
30,31,31,13/01/2004 00:00,Industrial,Alquiler,Barcelona,142.0,1405374.0,24/09/2004 00:00,Jesús
31,32,32,13/01/2004 00:00,Casa,Alquiler,Girona,92.0,627348.0,12/04/2004 00:00,María
32,33,33,15/01/2004 00:00,Local,Alquiler,Barcelona,181.0,1504110.0,03/07/2004 00:00,María
33,34,34,15/01/2004 00:00,Casa,Venta,Barcelona,281.0,2483197.0,01/11/2004 00:00,María
34,35,35,15/01/2004 00:00,Industrial,Alquiler,Tarragona,257.0,1799771.0,31/12/2004 00:00,Luisa
35,36,36,16/01/2004 00:00,Industrial,Alquiler,Tarragona,140.0,1054340.0,02/12/2004 00:00,Luisa
36,37,37,16/01/2004 00:00,Local,Venta,Girona,229.0,1160572.0,09/07/2004 00:00,Pedro
37,38,38,17/01/2004 00:00,Suelo,Alquiler,Tarragona,300.0,1492800.0,08/12/2004 00:00,Joaquín
38,39,39,18/01/2004 00:00,Parking,Alquiler,Tarragona,215.0,1154980.0,14/01/2005 00:00,Joaquín
39,40,40,18/01/2004 00:00,Oficina,Venta,Girona,182.0,1057784.0,22/07/2004 00:00,Jesús
40,41,41,18/01/2004 00:00,Piso,Venta,Barcelona,230.0,1421860.0,23/09/2004 00:00,Jesús
41,42,42,19/01/2004 00:00,Oficina,Venta,Tarragona,168.0,1426992.0,20/11/2004 00:00,Jesús
42,43,43,19/01/2004 00:00,Oficina,Alquiler,Girona,74.0,579716.0,22/09/2004 00:00,María
43,44,44,19/01/2004 00:00,Casa,Venta,Girona,278.0,1537062.0,16/12/2004 00:00,María
44,45,45,20/01/2004 00:00,Oficina,Alquiler,Barcelona,287.0,2851058.0,02/01/2005 00:00,Joaquín
45,46,46,20/01/2004 00:00,Oficina,Alquiler,Lleida,224.0,1294048.0,29/10/2004 00:00,Carmen
46,47,47,20/01/2004 00:00,Piso,Alquiler,Barcelona,53.0,249418.0,11/08/2004 00:00,Luisa
47,48,48,20/01/2004 00:00,Industrial,Venta,Barcelona,284.0,1457488.0,06/07/2004 00:00,Jesús
