0,Referencia,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
1,1,01/01/2004 00:00,Parking,Alquiler,Lleida,291,2133903,19/06/2004 00:00,Carmen
2,2,01/01/2004 00:00,Local,Venta,Girona,185,1945424,19/04/2004 00:00,Pedro
3,3,01/01/2004 00:00,Oficina,Alquiler,Girona,82,,08/11/2004 00:00,Joaquín
4,4,02/01/2004 00:00,Parking,Alquiler,Girona,285,,27/04/2004 00:00,Jesús
5,5,02/01/2004 00:00,Suelo,Venta,Tarragona,152,185000,10/07/2004 00:00,María
6,6,03/01/2004 00:00,Industrial,Alquiler,Girona,131,953156,05/09/2004 00:00,Pedro
7,7,03/01/2004 00:00,,Alquiler,Tarragona,,406686,07/06/2004 00:00,Pedro
8,8,03/01/2004 00:00,Oficina,Venta,Girona,235,2158475,31/10/2004 00:00,Jesús
9,9,04/01/2004 00:00,Piso,Alquiler,Lleida,108,1024380,28/12/2004 00:00,Jesús
10,10,04/01/2004 00:00,Parking,Venta,Lleida,299,2042768,06/10/2004 00:00,Joaquín
11,11,04/01/2004 00:00,Oficina,Alquiler,Girona,124,627068,28/10/2004 00:00,Pedro
12,12,04/01/2004 00:00,Industrial,Venta,Girona,187,999328,05/04/2004 00:00,Carmen
13,13,04/01/2004 00:00,Parking,Venta,Barcelona,,2937300,04/11/2004 00:00,Jesús
14,14,04/01/2004 00:00,Local,Venta,Tarragona,68,664700,01/10/2004 00:00,Carmen
15,15,04/01/2004 00:00,Industrial,Alquiler,Girona,176,820336,29/11/2004 00:00,Pedro
16,16,05/01/2004 00:00,Casa,Alquiler,Girona,179,937960,21/11/2004 00:00,Carmen
17,17,05/01/2004 00:00,Casa,Alquiler,Tarragona,58,358846,08/10/2004 00:00,Luisa
18,18,06/01/2004 00:00,Suelo,Venta,Barcelona,283,1679605,06/06/2004 00:00,Carmen
19,19,07/01/2004 00:00,Piso,Alquiler,Girona,55,472615,09/04/2004 00:00,Luisa
20,20,08/01/2004 00:00,Oficina,Alquiler,Barcelona,148,1169496,19/08/2004 00:00,María
21,21,09/01/2004 00:00,Industrial,Venta,Barcelona,228,2020992,12/06/2004 00:00,Carmen
22,22,09/01/2004 00:00,Oficina,Alquiler,Lleida,116,727552,14/04/2004 00:00,Pedro
23,23,10/01/2004 00:00,Casa,Alquiler,Girona,183,1438929,21/04/2004 00:00,Luisa
24,24,10/01/2004 00:00,Oficina,Alquiler,Tarragona,79,,01/12/2004 00:00,Joaquín
25,25,10/01/2004 00:00,Oficina,Alquiler,Barcelona,124,1170684,23/05/2004 00:00,Jesús
26,26,10/01/2004 00:00,Local,Alquiler,Tarragona,70,549780,22/06/2004 00:00,Jesús
27,27,11/01/2004 00:00,Local,Alquiler,Tarragona,70,659330,23/12/2004 00:00,Pedro
28,28,12/01/2004 00:00,Casa,Alquiler,Barcelona,187,1660560,16/06/2004 00:00,Joaquín
29,29,12/01/2004 00:00,Casa,Alquiler,Tarragona,91,753571,07/07/2004 00:00,Luisa
30,30,12/01/2004 00:00,Local,Alquiler,Tarragona,201,939072,04/08/2004 00:00,Carmen
31,31,13/01/2004 00:00,Industrial,Alquiler,Barcelona,142,1405374,24/09/2004 00:00,Jesús
32,32,13/01/2004 00:00,Casa,Alquiler,Girona,92,627348,12/04/2004 00:00,María
33,33,15/01/2004 00:00,Local,Alquiler,Barcelona,181,1504110,03/07/2004 00:00,María
34,34,15/01/2004 00:00,Casa,Venta,Barcelona,281,2483197,01/11/2004 00:00,María
35,35,15/01/2004 00:00,Industrial,Alquiler,Tarragona,257,1799771,31/12/2004 00:00,Luisa
36,36,16/01/2004 00:00,Industrial,Alquiler,Tarragona,140,1054340,02/12/2004 00:00,Luisa
37,37,16/01/2004 00:00,Local,Venta,Girona,229,1160572,09/07/2004 00:00,Pedro
38,38,17/01/2004 00:00,Suelo,Alquiler,Tarragona,300,1492800,08/12/2004 00:00,Joaquín
39,39,18/01/2004 00:00,Parking,Alquiler,Tarragona,215,1154980,14/01/2005 00:00,Joaquín
40,40,18/01/2004 00:00,Oficina,Venta,Girona,182,1057784,22/07/2004 00:00,Jesús
41,41,18/01/2004 00:00,Piso,Venta,Barcelona,230,1421860,23/09/2004 00:00,Jesús
42,42,19/01/2004 00:00,Oficina,Venta,Tarragona,168,1426992,20/11/2004 00:00,Jesús
43,43,19/01/2004 00:00,Oficina,Alquiler,Girona,74,579716,22/09/2004 00:00,María
44,44,19/01/2004 00:00,Casa,Venta,Girona,278,1537062,16/12/2004 00:00,María
45,45,20/01/2004 00:00,Oficina,Alquiler,Barcelona,287,2851058,02/01/2005 00:00,Joaquín
46,46,20/01/2004 00:00,Oficina,Alquiler,Lleida,224,1294048,29/10/2004 00:00,Carmen
47,47,20/01/2004 00:00,Piso,Alquiler,Barcelona,53,249418,11/08/2004 00:00,Luisa
48,48,20/01/2004 00:00,Industrial,Venta,Barcelona,284,1457488,06/07/2004 00:00,Jesús
49,49,20/01/2004 00:00,Local,Venta,Girona,40,321680,11/01/2005 00:00,Jesús
50,50,20/01/2004 00:00,Local,Alquiler,Tarragona,235,957625,13/11/2004 00:00,Carmen
51,51,20/01/2004 00:00,Industrial,Venta,Lleida,90,568620,14/12/2004 00:00,Joaquín
52,52,22/01/2004 00:00,Local,Alquiler,Lleida,206,1605564,26/09/2004 00:00,María
