,0
id,0
listing_url,0
scrape_id,0
last_scraped,0
source,0
name,0
description,511
neighborhood_overview,7057
picture_url,0
host_id,0
host_url,0
host_name,1
host_since,1
host_location,3612
host_about,7554
host_response_time,3642
host_response_rate,3642
host_acceptance_rate,3125
host_is_superhost,547
host_thumbnail_url,1
host_picture_url,1
host_neighbourhood,8548
host_listings_count,1
host_total_listings_count,1
host_verifications,1
host_has_profile_pic,1
host_identity_verified,1
neighbourhood,7057
neighbourhood_cleansed,0
neighbourhood_group_cleansed,14396
latitude,0
longitude,0
property_type,0
room_type,0
accommodates,0
bathrooms,3786
bathrooms_text,3
bedrooms,1441
beds,3794
amenities,0
price,3785
minimum_nights,0
maximum_nights,0
minimum_minimum_nights,0
maximum_minimum_nights,0
minimum_maximum_nights,0
maximum_maximum_nights,0
minimum_nights_avg_ntm,0
maximum_nights_avg_ntm,0
calendar_updated,14396
has_availability,917
availability_30,0
availability_60,0
availability_90,0
availability_365,0
calendar_last_scraped,0
number_of_reviews,0
number_of_reviews_ltm,0
number_of_reviews_l30d,0
first_review,2418
last_review,2418
review_scores_rating,2418
review_scores_accuracy,2418
review_scores_cleanliness,2418
review_scores_checkin,2418
review_scores_communication,2418
review_scores_location,2418
review_scores_value,2419
license,14396
instant_bookable,0
calculated_host_listings_count,0
calculated_host_listings_count_entire_homes,0
calculated_host_listings_count_private_rooms,0
calculated_host_listings_count_shared_rooms,0
reviews_per_month,2418
